"","id","mus_code","Task","Condition","ElectrodeSite","max_p3","min_p3","beta","r2"
"216",122,"mus","stroop","c","fz",4.09672577123715,5.51521906301562,-0.151209824381715,0.882128035588788
"217",123,"mus","stroop","c","fz",-4.29333024449593,-8.04679875335411,0.188523254915448,0.978690836214997
"218",124,"mus","stroop","c","fz",2.99046350894152,0.651502658289028,0.026734352914649,0.40022249505402
"219",126,"mus","stroop","c","fz",-0.379160780653655,-0.207757770703821,-0.0101857686685614,0.0639106743693721
"220",128,"nm","stroop","c","fz",2.87264157264046,-1.76932196130065,0.071637714769823,0.926521983219759
"221",129,"nm","stroop","c","fz",1.60798025032916,-4.86053774103765,0.115058704367914,0.957899160063954
"222",130,"nm","stroop","c","fz",0.506203479942001,0.842738037699371,-0.0305728598528627,0.425788960999794
"223",131,"nm","stroop","c","fz",12.5860535324411,7.94476688721854,0.17157477573572,0.882008960928008
"224",132,"mus","stroop","c","fz",1.68834677755371,1.37326569557174,0.0207832379431853,0.543439845075461
"225",103,"mus","stroop","ic","pz",6.66059254012433,0.528370943817602,0.0776128953032814,0.878320060688786
"226",104,"nm","stroop","ic","pz",6.977,-0.458032416126397,0.119298424795241,0.953490819253111
"227",105,"nm","stroop","ic","pz",1.48496010066499,-3.70899393343444,0.113267678187479,0.964485363243302
"228",106,"nm","stroop","ic","pz",2.58430367827203,2.95527249545841,-0.0261348561159074,0.148279280047568
"229",108,"mus","stroop","ic","pz",-2.75538612689788,-2.82712303128281,-0.00326177954080039,0.0112231806242582
"230",109,"nm","stroop","ic","pz",-2.53998731687805,-5.50270553824103,0.0673349203940329,0.96477331221512
"231",110,"mus","stroop","ic","pz",3.56226372893785,0.788100564990584,0.0661387020152906,0.943931465443215
"232",111,"mus","stroop","ic","pz",7.62352102464959,-0.390139481008649,0.125207548444614,0.833261871796454
"233",112,"mus","stroop","ic","pz",7.94515908068199,5.060808819853,0.0159573803101493,0.0794652131414831
"234",113,"nm","stroop","ic","pz",7.04334089431843,6.25971492141798,0.0646646037854256,0.351511940821138
